id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,lwratio,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id,created_at,updated_at,deleted_at
47,EF1-2F,407913763,ROUND,1.01,H,I1,EX,VG,VG,NON,,,6.44,6.48,3.85,59.6,63,POINTED,IGI,MED to STK,100%,Not brown,Not green,,-52.91%,1759.75,1742.33,,,,,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
48,ED-4,6342719599,OVAL,2.02,F,IF,-,EX,EX,NON,,,9.97,7.22,4.31,59.7,60,None,GIA,STK to THK,100%,Not brown,Not green,,-35.00%,22977.50,11375.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6342719599.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
49,EF2-10B,6342717604,ROUND,0.30,D,SI2,EX,EX,VG,NON,,,4.38,4.36,2.60,59.5,60,NON,GIA,MED,100%,Not brown,Not green,,-35.00%,331.50,1105.00,,,,,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
50,EF2-5,6342873625,PEAR,1.03,E,SI2,-,EX,VG,NON,,,9.11,5.54,3.39,61.1,57,NON,GIA,MED to THK,100%,Not brown,Not green,,-41.00%,2977.73,2891.00,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/ed61abdc-3552-4e9a-9edb-008ce3794541.jpg,,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
51,EF1-7A,7346827345,ROUND,0.50,Faint Pink,VS2,GD,EX,EX,NON,,,5.1,5.12,3.13,61.3,60,None,GIA,MED to STK,100%,Not brown,Not green,,0.00%,1100.00,2200.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7346827345.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
52,EF3-11,6352155470,ROUND,0.35,F,I1,EX,EX,EX,NON,,,4.55,4.57,2.77,60.7,60,Very Small,GIA,MED to STK,100%,Not brown,Not green,,-33.00%,304.85,871.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6352155470.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
53,EF3-5D,1343974220,PEAR,1.00,I,VS1,-,EX,VG,NON,,,8.71,5.41,3.42,63.3,57,SML,GIA,THK to ETK,100%,Not brown,Not green,,-45.00%,2530.00,2530.00,,,,,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
54,EH1-16,1358158556,ROUND,0.76,M,VVS2,EX,EX,EX,NON,,,5.81,5.82,3.63,62.3,56,None,GIA,MED to STK,100%,Not brown,Not green,,-38.00%,1036.64,1364.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1358158556.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
55,EF3-22,1359070973,ROUND,1.10,M Faint Brown,VS1,EX,EX,EX,FNT,,,6.65,6.67,4.04,60.6,60,None,GIA,STK,100%,Not brown,Not green,,-47.00%,2040.50,1855.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1359070973.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
56,DR4-2H,1358158495,ROUND,0.50,E,I1,EX,EX,EX,NON,,,5.09,5.1,3.16,61.9,58,None,GIA,MED to STK,100%,Not brown,Not green,,-37.00%,630.00,1260.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1358158495.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
57,EH1-6,2354244355,PEAR,0.90,H,SI1,-,EX,VG,NON,,,8.32,5.17,3.45,66.8,59,None,GIA,VTK to ETK,100%,Not brown,Not green,,-45.00%,2029.50,2255.00,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2354244355.pdf,,,African star (hk) ltd,HK,Y,f6e0efcb-9b29-42a6-9721-b7322986b542,,,
