id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
19849,OL18057580330,7342385734,ROUND,1.03,H,VVS2,EX,EX,EX,NON,,6.5,6.47,4.01,61.8,57,NON,GIA,MED to STK,100%,,,,China Star ,-33.82%,5310,5155.42,,,,,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19850,PZ07779810345,7342900475,ROUND,0.4,D,SI2,VG,EX,VG,NON,,4.62,4.67,2.95,63.5,60,None,GIA,VTN to THK,,,,,China Star ,-46.89%,455,1137.2,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7342900475.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19851,RD06127552327,6331039498,ROUND,0.5,D,SI1,VG,EX,VG,FNT,,4.97,4.94,3.18,64.3,55,NON,GIA,STK to THK,,,,,China Star ,-54.29%,807,1614.14,,,,https://dia-img.kgirdharlal.com/lab.aspx?lab=GIA&reportid=6331039498,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19852,276G-41-A,2357101551,ROUND,0.5,F,SI1,EX,EX,EX,MED,Blue,5.06,5.09,3.19,62.9,56,None,GIA,MED to STK,,,,,Paladiya Brothers & co,-42.95%,914,1828.56,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2357101551.pdf,,,,HK,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a
19853,LD19100799,6331871737,ROUND,1,H,VVS1,EX,EX,EX,FNT,,6.4,6.37,3.95,61.8,59,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,-38.75%,4960,4960.06,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MTAwNzk5,16,https://nivoda-images.s3.eu-west-2.amazonaws.com/bb755a6a-07e4-4793-8756-3c2db4d8b762.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19100799.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
19854,201828-GC,2348996136,OVAL,1,I,SI1,-,VG,GD,FNT,,7.79,5.38,3.33,61.8,57,NON,GIA,MED to ETK,,,,,Vaishali Gems,-46.60%,2299,2298.87,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/fbc0651c-730d-4722-86d4-f1b7ecec1680.jpg,,,,,HK,Y,0f73b5bb-6b58-4f06-964b-d20097ee9d3b
19855,YO17020978658,6331909858,ROUND,1.01,I,VS1,EX,EX,EX,NON,,6.37,6.4,4,62.7,57,None,GIA,MED to STK,100%,,,,China Star ,-39.77%,3928,3889.35,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6331909858.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19856,IO06620754400,6322570513,ROUND,0.5,I,VS2,VG,EX,VG,NON,,4.9,4.96,3.19,64.6,57,None,GIA,THK,,,,,China Star ,-50.39%,700,1399.48,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6322570513.pdf,,,,unknown,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19857,EK04261219893,6331843770,ROUND,0.5,H,VVS2,EX,EX,EX,FNT,,5.06,5.04,3.19,63.1,57,NON,GIA,MED to STK,100%,,,,China Star ,-43.51%,962,1924.18,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/d9f6cab0-8ad7-45b5-9227-a01bde3d6784.jpg,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&c=Page&cid=1355954554547&reportno=6331843770,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19858,SG06613809867,7323252194,ROUND,0.31,D,VVS1,EX,EX,EX,MED,Blue,4.31,4.33,2.72,62.9,58,None,GIA,STK,100%,,,,China Star ,-49.24%,471,1518.06,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7323252194.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
