id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
6612,156139,7231087560,EMERALD,0.9,F,SI2,-,EX,GD,FNT,,6.53,4.5,3,66.7,56,NON,GIA,THK to VTK,,Not brown,Not green,,Janam Corporation Pvt Ltd,-54.70%,1671,1857.12,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
6613,186A-27-A,2356006343,ROUND,1.51,J,SI2,EX,EX,EX,NON,,7.25,7.31,4.62,63.4,56,None,GIA,MED to STK,,,,,Paladiya Brothers & co,-25.78%,6202,4107.22,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2356006343.pdf,,,,HK,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a
6614,622886,2316887763,ROUND,1.15,H,VS1,EX,EX,EX,NON,,6.72,6.69,4.16,62.1,57,NON,GIA,MED to STK,100%,Not brown,Not green,,Janam Corporation Pvt Ltd,-21.83%,6803,5915.36,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
6615,435193,2277992159,EMERALD,0.24,D,VVS2,-,VG,VG,NON,,4.25,3.02,2.08,68.9,60,NON,GIA,THK to VTK,100%,Not brown,Not green,,Janam Corporation Pvt Ltd,-1.80%,365,1519.38,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
6616,186A-41-B,6352110747,ROUND,1,E,I1,VG,EX,VG,FNT,,6.27,6.33,4.05,64.2,60,None,GIA,STK to THK,,,,,Paladiya Brothers & co,-34.00%,2909,2908.95,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6352110747.pdf,,,,IN,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a
6617,405522,1355234769,PRINCESS,0.22,E,VS2,-,VG,VG,NON,,3.54,3.38,2.31,68.3,71,None,GIA,STK to THK,,Not brown,Not green,,Janam Corporation Pvt Ltd,15.55%,294,1338.05,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1355234769.pdf,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
6618,271762,1189183799,EMERALD,1.04,I,SI1,-,VG,VG,FNT,,6.33,4.71,3.75,79.6,63,NON,GIA,VTK to ETK,,Not brown,Not green,,Janam Corporation Pvt Ltd,-44.35%,2492,2395.91,,,,TRUE,,,,IN,Y,c238a51d-5b9e-40fb-ac80-7dad05bef5e5
6619,HK190877-143,1345366705,ROUND,1,I,VS1,EX,EX,EX,FNT,,6.4,6.35,3.97,62.2,58,NON,GIA,MED to STK,100%,,,Not milky,Hari Krishna,-41.68%,3766,3765.89,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/5e88555f-8d46-4be0-9c85-4b6c464898b4.jpg,https://diamanti.s3.amazonaws.com/certificates/1345366705.jpg,,,,HK,N,1d8066ed-4b96-490d-9dd5-e68a649fd592
6620,LD19054766,6321875614,PEAR,0.81,D,SI1,-,EX,VG,STG,Blue,8.59,5.32,3.09,58,58,NON,GIA,MED to THK,100%,Not brown,Not green,Not milky,Laxmi,-45.00%,1735,2142.25,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly93d3cuY2VydGlmaWVkc3RvbmUuaW5mby92aWV3ZXIvVmlzaW9uMzYwLmh0bWw/ZD1MRDE5MDU0NzY2,128,https://nivoda-images.s3.eu-west-2.amazonaws.com/04690c18-5b04-4ecb-a7d3-ab8a670d66f8.jpg,https://www.laxmidiamond.com/certifiedstone/certificate/LD19054766.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
6621,202207-GB,2347931450,ROUND,0.91,E,SI1,VG,EX,VG,FNT,,6.04,6.09,3.87,63.8,56,None,GIA,MED to THK,,,,,Vaishali Gems,-48.00%,2765,3038.1,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/d6a19595-d052-49fa-8472-1f4b36739fdd.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2347931450.pdf,,,,HK,Y,0f73b5bb-6b58-4f06-964b-d20097ee9d3b
